Module Marks Summer 2013. ,,,,,
Undergraduate Degree Students,,,,,
Some qualifications are excluded (THEO COMDEG LOCDEG COMMST DEFT & DISDEG),,,,,
"Includes block codes 1,51,5S,R2 and 2 but excludes RB (year long)",,,,,
,,,,,
,,,,,
Qual Code,Qual Description,Year,Module,Mark,Grade
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,CN110,65,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,CN110,69,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,CN111,50,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,CN111,63,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,CN111,70,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,CN120,43,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,CN120,54,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,CN120,68,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,CN121,52,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,CN121,63,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,CN121,65,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,ECDL,,DID NOT COMPLETE
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,EN150,0,FAIL
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,EN150,46,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,EN150,58,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,EN150,58,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,EN150,58,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,EN150,68,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,EN152A,40,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,EN152A,55,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,EN152A,69,PASS
